id,model,year,price,image_url,featured,body_type,transmission,fuel_type,num_seats,max_output,drivetrain,wheel_size,airbags,isofix,front_parking_sensors,rear_parking_sensors,connectivity,created_at,updated_at
1,Camry,2024,2657000.00,https://abrdxqzcaaghpyplixfx.supabase.co/storage/v1/object/public/car-images/1/1e31c497-5c5a-4bd9-ba9a-e0810c7e4b8b_logo.png.png?,true,Sedan,CVT,Hybrid,5,"215 hp @ 5,700 rpm",Front-Wheel Drive,18 in,7,true,true,true,"[""AM"",""FM"",""Bluetooth"",""Apple CarPlay"",""Android Auto"",""Voice Comm""]",2025-05-02 17:06:15.971259+00,
2,Corolla Altis,2024,1213000.00,https://abrdxqzcaaghpyplixfx.supabase.co/storage/v1/object/public/car-images/2/029650ab-f539-4a5f-8ed4-426e06a7da28_logo.png.png?,true,Sedan,CVT,Hybrid,5,"121 hp @ 6,000 rpm",Front-Wheel Drive,16 in,7,true,true,true,"[""AM"",""FM"",""Bluetooth"",""Apple CarPlay"",""Android Auto"",""Voice Comm""]",2025-05-02 17:06:15.971259+00,
3,Vios,2024,738000.00,https://abrdxqzcaaghpyplixfx.supabase.co/storage/v1/object/public/car-images/3/b615edc2-3ddc-4840-bd06-78a0c5ff4c25_Screenshot 2025-05-04 021100.png?,true,Sedan,CVT,Petrol,5,"98 hp @ 6,000 rpm",Front-Wheel Drive,15 in,7,true,true,true,"[""AM"",""FM"",""Bluetooth"",""Apple CarPlay"",""Android Auto""]",2025-05-02 17:06:15.971259+00,
4,Corolla Cross,2024,1514000.00,,true,SUV,CVT,Hybrid,5,"196 hp @ 6,000 rpm",Front-Wheel Drive,18 in,7,true,true,true,"[""AM"",""FM"",""Bluetooth"",""Apple CarPlay"",""Android Auto"",""Voice Comm""]",2025-05-02 17:06:15.971259+00,
5,Fortuner,2024,1775000.00,,true,SUV,Automatic,Diesel,7,"201 hp @ 3,400 rpm",Rear-Wheel Drive,17 in,7,true,true,true,"[""AM"",""FM"",""Bluetooth"",""Apple CarPlay"",""Android Auto"",""Voice Comm""]",2025-05-02 17:06:15.971259+00,
6,RAV4,2024,2052000.00,,true,SUV,CVT,Hybrid,5,"219 hp @ 5,700 rpm",All-Wheel Drive,18 in,7,true,true,true,"[""AM"",""FM"",""Bluetooth"",""Apple CarPlay"",""Android Auto"",""Voice Comm""]",2025-05-02 17:06:15.971259+00,
7,Rush,2024,1208000.00,,true,SUV,Automatic,Petrol,7,"102 hp @ 6,000 rpm",Rear-Wheel Drive,16 in,7,true,true,true,"[""AM"",""FM"",""Bluetooth"",""Apple CarPlay"",""Android Auto""]",2025-05-02 17:06:15.971259+00,
8,Yaris Cross,2024,1210000.00,,true,SUV,CVT,Hybrid,5,"91 hp @ 5,500 rpm",Front-Wheel Drive,17 in,7,true,true,true,"[""AM"",""FM"",""Bluetooth"",""Apple CarPlay"",""Android Auto""]",2025-05-02 17:06:15.971259+00,
9,Alphard,2024,4671000.00,,true,Minivan,CVT,Hybrid,7,"247 hp @ 6,000 rpm",Front-Wheel Drive,19 in,6,true,true,true,"[""AM"",""FM"",""Bluetooth"",""Apple CarPlay"",""Android Auto"",""Voice Comm""]",2025-05-02 17:06:15.971259+00,
10,Avanza,2024,844000.00,,true,MPV,CVT,Petrol,7,"105 hp @ 6,000 rpm",Front-Wheel Drive,15 in,7,true,true,true,"[""AM"",""FM"",""Bluetooth"",""Apple CarPlay"",""Android Auto""]",2025-05-02 17:06:15.971259+00,
11,Innova,2024,1267000.00,,true,MPV,Automatic,Diesel,7,"148 hp @ 3,400 rpm",Rear-Wheel Drive,16 in,7,true,true,true,"[""AM"",""FM"",""Bluetooth"",""Apple CarPlay"",""Android Auto""]",2025-05-02 17:06:15.971259+00,
12,Veloz,2024,1104000.00,,true,MPV,CVT,Petrol,7,"105 hp @ 6,000 rpm",Front-Wheel Drive,16 in,7,true,true,true,"[""AM"",""FM"",""Bluetooth"",""Apple CarPlay"",""Android Auto""]",2025-05-02 17:06:15.971259+00,
13,Zenix,2024,1676000.00,,true,MPV,CVT,Hybrid,7,"186 hp @ 6,000 rpm",Front-Wheel Drive,17 in,7,true,true,true,"[""AM"",""FM"",""Bluetooth"",""Apple CarPlay"",""Android Auto"",""Voice Comm""]",2025-05-02 17:06:15.971259+00,
14,Hilux,2024,891000.00,,true,Pickup,Automatic,Diesel,5,"201 hp @ 3,400 rpm",Rear-Wheel Drive,17 in,7,true,true,true,"[""AM"",""FM"",""Bluetooth"",""Apple CarPlay"",""Android Auto""]",2025-05-02 17:06:15.971259+00,
15,Hiace,2024,1195000.00,,true,Van,Automatic,Diesel,15,"134 hp @ 3,400 rpm",Rear-Wheel Drive,16 in,7,true,true,true,"[""AM"",""FM"",""Bluetooth"",""Apple CarPlay"",""Android Auto""]",2025-05-02 17:06:15.971259+00,
16,Hiace Super Grandia,2024,2906000.00,,true,Van,Automatic,Diesel,12,"134 hp @ 3,400 rpm",Rear-Wheel Drive,16 in,7,true,true,true,"[""AM"",""FM"",""Bluetooth"",""Apple CarPlay"",""Android Auto"",""Voice Comm""]",2025-05-02 17:06:15.971259+00,
17,Coaster,2024,4114000.00,,true,Van,Automatic,Diesel,29,"134 hp @ 3,400 rpm",Rear-Wheel Drive,16 in,7,true,true,true,"[""AM"",""FM"",""Bluetooth"",""Apple CarPlay"",""Android Auto""]",2025-05-02 17:06:15.971259+00,
18,Wigo,2024,615000.00,,true,Hatchback,CVT,Petrol,5,"88 hp @ 6,000 rpm",Front-Wheel Drive,14 in,7,true,true,true,"[""AM"",""FM"",""Bluetooth"",""Apple CarPlay"",""Android Auto""]",2025-05-02 17:06:15.971259+00,
19,GR Supra,2024,5552000.00,https://abrdxqzcaaghpyplixfx.supabase.co/storage/v1/object/public/car-images/19/98530f07-bd48-4128-b3a9-a2faea4e413a_488581940_675712548332229_7001861334557221168_n.jpg?,true,Coupe,Automatic,Petrol,2,"382 hp @ 5,800 rpm",Rear-Wheel Drive,19 in,7,true,true,true,"[""AM"",""FM"",""Bluetooth"",""Apple CarPlay"",""Android Auto"",""Voice Comm""]",2025-05-02 17:06:15.971259+00,
20,GR Yaris,2024,3391000.00,https://abrdxqzcaaghpyplixfx.supabase.co/storage/v1/object/public/car-images/20/72173e89-17ba-4a95-8d86-278632ff0fc8_image_2025-05-03_030503578.png?,true,Hatchback,Manual,Petrol,4,"257 hp @ 6,500 rpm",All-Wheel Drive,18 in,7,true,true,true,"[""AM"",""FM"",""Bluetooth"",""Apple CarPlay"",""Android Auto"",""Voice Comm""]",2025-05-02 17:06:15.971259+00,
21,GR86,2024,2716000.00,https://abrdxqzcaaghpyplixfx.supabase.co/storage/v1/object/public/car-images/21/e6b0995d-b618-43df-b9c0-155a40a6af9e__587fff61-8138-4ca9-99cb-06f845c8fae6.jpg?,true,Coupe,Manual,Petrol,2,"228 hp @ 7,000 rpm",Rear-Wheel Drive,18 in,7,true,true,true,"[""AM"",""FM"",""Bluetooth"",""Apple CarPlay"",""Android Auto"",""Voice Comm""]",2025-05-02 17:06:15.971259+00,
